﻿"魅蓝S6采用三星 Exynos系列处理器,请问Eⅹynηos通常被粉丝们称为什么?","['处女座', '天蝎座', '猎户座']",6.83,猎户座
﻿"三个人一起自拍,哪个位置容易显得脸小?","['罪近说:', '最远离镜头', '悄悄占住中间的位置']",7.89,最远离镜头
﻿以下哪个选项不属于手机操作系统,"['WPS', 'Firefox os']",5.7,Firefox os
﻿是谁颠覆了摩托罗拉“大哥大”的地位?,"['索尼', '诺基亚', '谷歌']",6.09,诺基亚
﻿以下哪个不是王者荣耀中鲁班七号的皮肤?,"['福禄兄弟', '电玩小子', '特种部队']",7.33,特种部队
﻿第一代 Iphone发布于?2006,"['2007', '2008', '天明b20d1241']",8.71,2007
﻿"以下选项中,哪个名称代表的动物与其他两个不同?","['荷兰猪', '豚鼠', '龙猫']",10.01,龙猫﻿"以下选项中,哪个名称代表的动物与其他两个不同?","['荷兰猪', '豚鼠', '龙猫']",4.52,龙猫
﻿玛格丽特小饼名字的由来是什么?,"['人的名字', '宠物的名字', '书的名字']",4.48,人的名字
﻿“庖丁解牛”的故事出自哪部著作?,"['《荀子》', '《孟子》', '《庄子》']",4.92,《庄子》
﻿电影《帕丁顿熊》中的小熊只喜欢吃什么?,"['果酱', '蜂蜜', '奶酪']",3.95,果酱
﻿钻石的鉴定标准中VVS指的是?,"['净度', '切工', '颜色']",6.82,净度
﻿“七里香”在台湾是指哪种小吃?,"['炒米粉', '臭豆腐', '鸡屁股']",5.35,鸡屁股
﻿清朝时的两江总督府旧址现位于哪座城市?,"['南京', '苏州', '杭']",6.7,南京
﻿全世界第一部公映的有声动画片是?,"['《威利号汽船》', '《小熊维尼》', '《猫和老鼠》']",5.58,《威利号汽船》
﻿丹麦著名的小美人鱼铜像是根据哪部著名童话中的故事设计的?,"['《格林童话》', '《糖果屋》', '《安徒生童话》']",5.56,《格林童话》
﻿中国第一条货轮海运邮路是从天津到哪个城市?,"['昆明市', '上海市', '广州市']",5.42,广州市
﻿"儿歌“一二三四五,上山打老虎老虎没打着打到什么?","['小松鼠', '小老鼠', '小仓鼠']",5.75,小松鼠
﻿"儿歌“一二三四五,上山打老虎老虎没打着打到什么?","['小松鼠', '小老鼠', '小仓鼠']",3.18,小松鼠
﻿"在王者荣耀中,购买1个5级铭文“长生”最大生命增加多少?","['70', '75', '80']",5.44,80
﻿根据以下三个词语猜一个名人:科学家、光速、相对论,"['爱迪生', '伽利略', '爱因斯坦']",5.14,爱因斯坦
﻿下列哪个城市没有迪士尼乐园?,"['香港', '加州', '伦敦']",5.6,伦敦
﻿不战而屈人之兵善之善者也”出自古代哪部经典著作?,"['孙子兵法', '诸葛兵法', '司马兵法']",6.25,孙子兵法
﻿人们通常在信的结尾处写上“此致敬礼”这里的“此”指的是什么?,"['写信人', '收信人', '错误', '信本身']",7.27,写信人
﻿直角三角形的两个锐角相加再加45度共是多少度?,"['90度', '115度', '135度']",6.96,90度
﻿"下面诗句中空缺的字对应的化学元素字母是:东风不与周郎便,O)春深锁二乔?","[' Cr', ' Cu', 'C Co']",7.53, Cr
﻿"下面诗句中空缺的字对应的化学元素字母是:东风不与周郎便,O)春深锁二乔?","[' Cr', ' Cu', 'C Co']",5.22, Cu
﻿"“皇帝”作为国家元首的正式称号,始于?","['嬴政', '刘彻', '帝辛', '25']",4.86,25
﻿以下四道名菜属于全素菜的是?,"['童子敬观音', '八仙过海闹罗汉', '鼎湖罗汉斋']",3.87,八仙过海闹罗汉
﻿"按照我国农历,“岁之元月之元,时之元”是哪一天?","['腊月初', '正月初', '闰月初']",7.64,正月初
﻿"按照我国农历,“岁之元月之元,时之元”是哪一天?","['腊月初', '正月初', '闰月初']",5.22,正月初
﻿"按照我国农历,“岁之元月之元,时之元”是哪一天?","['腊月初', '0%', '正月初', '0%', '闰月初', '0%']",4.86,正月初
﻿"按照我国农历,“岁之元月之元,时之元”是哪一天?","['腊月初', '正月初', '闰月初']",5.3,正月初
﻿请问恩格尔系数达到多少以上意味贫困?,"['0.49', '25', '0.59', '0.69', '25']",5.1,0.49
﻿南岳衡山的最高峰是哪座?,"['祝融峰', '天都峰', '莲花峰']",4.53,祝融峰
﻿"an哥热身中,题目还在路上","['暂无答案', '暂无答案', '暂无答案']",4.08,暂无答案
﻿以下哪位是我国掌管姻缘的“媒神”?,"['月老', '丘比特', '伽摩']",4.91,月老
﻿“龙眼”俗称?,"['桂圆', '荔枝', '栗子']",5.7,桂圆
﻿下列动物中属于家禽的是?,"['麻雀', '鸡', '猪']",5.66,鸡
﻿安全出口指示灯是什么颜色的?,"['红色', '绿色', '黄色']",5.59,绿色
﻿"我们通常将在时装秀中,延伸至观众席平台称作什么?","['A台', 'T台', '0', 'F台']",6.8,0
﻿"当你站在南极点向前走时,你前进的方向只可能是?","['南', '北', '东']",6.05,南
﻿"成语“退避三舍”中,一舍等于多少?","['1里', '10里', '30里']",6.13,30里
﻿以下哪个运动员在世界杯足球赛决赛阶段进球最多?,"['罗纳尔多', '克洛泽', '0', '梅西']",7.38,0
﻿"如果小瓜的女儿丿是我儿子的母亲,我是男的,我与小瓜符合哪种亲属关系?","['我是小瓜的儿子', '我是小瓜的女婿', '我是小瓜的弟弟']",4.69,我是小瓜的弟弟
